
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
13.636,2837.033,110.002,-11.931,110.025,11.932,44.875,0.001,44.875,0.001,2.214,0.127,28.591,-80.615,9.783,0.054,1.638e-5,-1.031,-0.033,2.08e4,4331,10.878,0.082,206.3,176.1,1.929,0.334,1.678e7,0,44.72,0.414,0.414,0.275,0.012,0.127,0.007,0.013,1.922e-5,0,0,0,0,-9.245e-5,0.014,15.7,190,87.892,-0.022,1.927,-3.441,716,329.214,0.05,0.41
13.686,2842.518,109.406,-11.905,109.429,11.906,44.985,0.001,44.985,0.001,2.207,0.15,28.591,-80.615,9.783,0.115,1.786e-5,-0.974,-0.021,2.08e4,4331,10.878,0.082,206.2,176.1,1.921,0.333,1.668e7,0,44.194,0.414,0.414,0.275,0.012,0.127,0.012,0.022,8.758e-5,0,0,0,0,-7.972e-5,0.014,15.7,190,87.949,-0.013,1.895,-3.476,715.5,329.192,0.05,0.411
13.736,2847.974,108.812,-11.879,108.834,11.88,45.095,0.001,45.095,0.002,2.198,0.199,28.591,-80.615,9.783,0.172,1.706e-5,-0.802,-0.012,2.08e4,4331,10.878,0.082,205.9,176.1,1.905,0.331,1.659e7,0,43.677,0.413,0.413,0.275,0.012,0.127,0.022,0.042,4.611e-4,0,0,0,0,-6.021e-5,0.014,15.7,190,88.006,-0.001,1.954,-3.512,715,329.171,0.05,0.411
13.786,2853.399,108.219,-11.853,108.241,11.855,45.205,0.001,45.205,0.002,2.187,0.228,28.591,-80.615,9.783,0.229,1.758e-5,-0.573,-0.009,2.08e4,4331,10.878,0.082,205.8,176.1,1.894,0.329,1.649e7,0,43.164,0.413,0.413,0.275,0.012,0.127,0.028,0.054,2.374e-5,0,0,0,0,-3.257e-5,0.014,15.7,190,88.006,0.012,1.973,-3.547,714.5,329.149,0.05,0.412
13.836,2858.796,107.627,-11.828,107.649,11.831,45.314,0.001,45.314,0.002,2.175,0.241,28.591,-80.615,9.783,0.229,1.722e-5,-0.344,-0.009,2.08e4,4331,10.878,0.082,205.7,176.1,1.889,0.327,1.639e7,0,42.654,0.413,0.413,0.275,0.011,0.127,0.032,0.06,8.871e-6,0,0,0,0,-1.167e-5,0.014,15.7,190,88.064,0.026,1.966,-3.582,714,329.128,0.05,0.413
13.886,2864.162,107.036,-11.804,107.058,11.806,45.423,0.001,45.423,0.002,2.164,0.217,28.591,-80.615,9.783,0.229,1.766e-5,-0.115,-0.01,2.08e4,4331,10.878,0.082,205.8,176.1,1.895,0.325,1.629e7,0,42.142,0.413,0.413,0.275,0.011,0.127,0.028,0.052,-6.741e-5,0,0,0,0,-1.092e-6,0.014,15.7,190,88.064,0.04,1.871,-3.617,713.5,329.107,0.05,0.414
13.936,2869.499,106.446,-11.781,106.468,11.782,45.531,0.001,45.531,0.002,2.153,0.201,28.591,-80.615,9.783,0.172,1.741e-5,0.115,-0.01,2.08e4,4331,10.878,0.082,205.8,176.1,1.899,0.324,1.619e7,0,41.637,0.413,0.413,0.275,0.011,0.126,0.025,0.047,1.425e-4,0,0,0,0,7.271e-7,0.014,15.7,190,88.064,0.054,1.816,-3.652,713,329.086,0.05,0.415
13.986,2874.807,105.858,-11.757,105.879,11.758,45.638,0.002,45.638,0.002,2.144,0.185,28.591,-80.615,9.783,0.172,1.734e-5,0.286,-0.009,2.08e4,4331,10.878,0.082,205.9,176.1,1.903,0.322,1.61e7,0,41.137,0.413,0.413,0.275,0.011,0.126,0.022,0.042,-1.853e-4,0,0,0,0,7.235e-6,0.014,15.7,190,88.064,0.057,1.776,-3.686,712.5,329.065,0.05,0.417
14.036,2880.085,105.27,-11.733,105.292,11.735,45.745,0.002,45.745,0.002,2.134,0.199,28.591,-80.615,9.783,0.229,1.69e-5,0.458,-0.011,2.08e4,4331,10.878,0.082,205.8,176.1,1.897,0.32,1.6e7,0,40.647,0.412,0.412,0.275,0.011,0.126,0.025,0.047,4.811e-4,0,0,0,0,1.9e-5,0.013,15.7,190,88.064,0.057,1.845,-3.721,712.1,329.044,0.05,0.418
14.086,2885.334,104.684,-11.709,104.706,11.711,45.851,0.002,45.851,0.002,2.124,0.209,28.591,-80.615,9.783,0.229,1.793e-5,0.63,-0.008,2.08e4,4331,10.878,0.082,205.7,176.1,1.893,0.318,1.591e7,0,40.162,0.412,0.412,0.275,0.011,0.126,0.028,0.052,4.183e-4,0,0,0,0,4.175e-5,0.013,15.7,190,88.006,0.057,1.921,-3.755,711.6,329.024,0.05,0.419
14.136,2890.553,104.1,-11.687,104.121,11.688,45.957,0.002,45.957,0.002,2.114,0.181,28.591,-80.615,9.783,0.172,1.75e-5,0.859,-0.011,2.08e4,4331,10.878,0.082,205.9,176.1,1.901,0.317,1.581e7,0,39.675,0.412,0.412,0.275,0.011,0.126,0.022,0.041,4.811e-4,0,0,0,0,7.063e-5,0.013,15.7,190,87.949,0.057,1.891,-3.789,711.1,329.003,0.05,0.42
14.186,2895.744,103.516,-11.664,103.537,11.665,46.063,0.002,46.063,0.002,2.106,0.15,28.591,-80.615,9.783,0.115,1.703e-5,0.974,-0.016,2.08e4,4331,10.878,0.082,206,176.1,1.911,0.315,1.571e7,0,39.192,0.412,0.412,0.275,0.011,0.126,0.015,0.028,2.124e-4,0,0,0,0,9.542e-5,0.013,15.7,190,87.949,0.057,1.863,-3.822,710.6,328.983,0.05,0.422
14.236,2900.905,102.933,-11.642,102.954,11.643,46.168,0.002,46.168,0.002,2.099,0.135,28.591,-80.615,9.783,0.115,1.639e-5,1.089,-0.02,2.08e4,4331,10.878,0.082,206.1,176.1,1.916,0.313,1.562e7,0,38.718,0.412,0.412,0.275,0.011,0.126,0.012,0.022,3.105e-4,0,0,0,0,1.161e-4,0.013,15.7,190,87.892,0.057,1.892,-3.856,710.2,328.962,0.05,0.423
14.286,2906.037,102.352,-11.62,102.373,11.621,46.273,0.002,46.273,0.002,2.093,0.105,28.591,-80.615,9.783,0.04,1.815e-5,1.146,-0.044,2.08e4,4331,10.878,0.082,206.3,176.1,1.926,0.311,1.552e7,0,38.246,0.412,0.412,0.275,0.011,0.125,0.005,0.009,-2.127e-4,0,0,0,0,1.327e-4,0.013,15.7,190,87.834,0.057,1.878,-3.889,709.7,328.942,0.05,0.424
14.336,2911.14,101.771,-11.599,101.792,11.599,46.377,0.002,46.377,0.003,2.088,0.083,28.591,-80.615,9.783,0.002,1.79e-5,-0.745,-0.859,2.08e4,4331,10.878,0.082,206.4,176.1,1.933,0.31,1.543e7,0,37.779,0.411,0.411,0.275,0.011,0.125,2.302e-4,3.478e-4,3.987e-4,0,0,0,0,-5.787e-5,0.013,15.7,190,87.777,0.057,1.89,-3.922,709.2,328.922,0.05,0.425
14.386,2916.214,101.192,-11.576,101.213,11.577,46.482,0.002,46.482,0.003,2.084,0.094,28.591,-80.615,9.783,0.018,1.894e-5,1.146,-0.057,2.08e4,4331,10.878,0.082,206.3,176.1,1.929,0.308,1.534e7,0,37.321,0.411,0.411,0.275,0.011,0.125,0.002,0.004,1.791e-4,0,0,0,0,1.377e-4,0.013,15.7,190,87.72,0.051,2.008,-3.955,708.8,328.902,0.05,0.426
14.436,2921.259,100.613,-11.554,100.635,11.555,46.586,0.002,46.586,0.003,2.079,0.089,28.591,-80.615,9.783,0.007,1.878e-5,1.146,-0.115,2.08e4,4331,10.878,0.082,206.3,176.1,1.931,0.306,1.524e7,0,36.865,0.411,0.411,0.275,0.011,0.125,8.063e-4,0.001,1.624e-4,0,0,0,0,1.433e-4,0.013,15.7,190,87.663,0.04,2.073,-3.988,708.3,328.882,0.05,0.427
14.486,2926.276,100.036,-11.533,100.058,11.533,46.689,0.002,46.689,0.003,2.075,0.078,28.591,-80.615,9.783,0.016,1.811e-5,-1.146,-0.023,2.08e4,4331,10.878,0.082,206.3,176.1,1.929,0.304,1.515e7,0,36.413,0.411,0.411,0.275,0.011,0.125,0.002,0.004,-3.786e-4,0,0,0,0,-1.445e-4,0.013,15.7,190,87.605,0.029,2.115,-4.021,707.8,328.862,0.05,0.428
14.536,2931.263,99.46,-11.512,99.482,11.512,46.793,0.002,46.793,0.003,2.071,0.075,28.591,-80.615,9.783,0.023,1.907e-5,-1.146,0.002,2.08e4,4331,10.878,0.082,206.3,176.1,1.927,0.303,1.505e7,0,35.966,0.411,0.411,0.275,0.011,0.125,0.003,0.005,4.072e-4,0,0,0,0,-1.417e-4,0.013,15.7,190,87.548,0.017,2.184,-4.053,707.4,328.843,0.05,0.429
14.586,2936.222,98.885,-11.49,98.907,11.491,46.897,0.003,46.897,0.003,2.067,0.077,28.591,-80.615,9.783,0.022,1.86e-5,-1.146,0.028,2.08e4,4331,10.878,0.082,206.3,176.1,1.927,0.301,1.496e7,0,35.523,0.411,0.411,0.275,0.011,0.125,0.003,0.006,2.218e-4,0,0,0,0,-1.383e-4,0.013,15.7,190,87.491,0.007,2.264,-4.085,706.9,328.823,0.05,0.43
14.636,2941.152,98.311,-11.471,98.333,11.471,47,0.003,47,0.003,2.064,0.037,28.591,-80.615,9.783,0.115,1.84e-5,-1.089,0.003,2.08e4,4331,10.878,0.082,206,176.1,1.911,0.299,1.487e7,0,35.081,0.411,0.411,0.275,0.011,0.124,0.012,0.024,-9.56e-5,0,0,0,0,-1.307e-4,0.013,15.7,190,87.433,-0.003,2.201,-4.117,706.5,328.804,0.05,0.431
14.686,2946.053,97.738,-11.453,97.76,11.453,47.103,0.003,47.103,0.003,2.064,0.031,28.591,-80.615,9.783,0.229,1.717e-5,-0.974,-8.382e-4,2.08e4,4331,10.878,0.082,205.6,176.1,1.885,0.298,1.477e7,0,34.643,0.41,0.411,0.275,0.011,0.124,0.03,0.056,6.481e-5,0,0,0,0,-1e-4,0.013,15.7,190,87.376,-0.011,2.03,-4.149,706,328.784,0.05,0.432
14.736,2950.925,97.166,-11.435,97.188,11.435,47.206,0.003,47.206,0.003,2.067,0.091,28.591,-80.615,9.783,0.344,1.706e-5,-0.688,-0.001,2.08e4,4331,10.878,0.082,205.2,176.1,1.861,0.296,1.468e7,0,34.213,0.41,0.41,0.275,0.011,0.124,0.045,0.084,-3.552e-4,0,0,0,0,-5.556e-5,0.012,15.7,190,87.319,-0.018,1.865,-4.181,705.6,328.765,0.05,0.433
14.786,2955.769,96.594,-11.415,96.617,11.416,47.31,0.003,47.31,0.004,2.072,0.104,28.591,-80.615,9.783,0.401,1.758e-5,-0.401,-0.002,2.08e4,4331,10.878,0.082,205.2,176.1,1.856,0.294,1.459e7,0,33.785,0.41,0.41,0.276,0.011,0.124,0.049,0.09,2.404e-4,0,0,0,0,-1.767e-5,0.012,15.7,190,87.319,-0.023,1.835,-4.213,705.1,328.746,0.05,0.434
14.836,2960.585,96.024,-11.395,96.047,11.396,47.414,0.003,47.414,0.004,2.078,0.117,28.591,-80.615,9.783,0.401,1.777e-5,-0.115,-0.003,2.08e4,4331,10.878,0.082,205.1,176.1,1.85,0.292,1.45e7,0,33.36,0.41,0.41,0.276,0.01,0.124,0.053,0.098,2.67e-4,0,0,0,0,-8.808e-7,0.012,15.7,190,87.261,-0.026,1.777,-4.244,704.7,328.727,0.05,0.435
14.886,2965.372,95.455,-11.375,95.478,11.376,47.518,0.003,47.518,0.004,2.084,0.116,28.591,-80.615,9.783,0.401,1.776e-5,0.229,-0.003,2.08e4,4331,10.878,0.082,205.1,176.1,1.849,0.291,1.44e7,0,32.938,0.41,0.41,0.276,0.01,0.124,0.053,0.097,2.981e-4,0,0,0,0,7.024e-6,0.012,15.7,190,87.261,-0.028,1.742,-4.275,704.3,328.708,0.05,0.436
14.936,2970.13,94.887,-11.354,94.91,11.354,47.622,0.003,47.622,0.004,2.089,0.099,28.591,-80.615,9.783,0.401,1.743e-5,0.573,-0.003,2.08e4,4331,10.878,0.082,205.1,176.1,1.855,0.289,1.431e7,0,32.517,0.41,0.41,0.276,0.01,0.124,0.048,0.089,1.623e-4,0,0,0,0,3.578e-5,0.012,15.7,190,87.319,-0.028,1.734,-4.306,703.8,328.69,0.05,0.437
14.986,2974.86,94.32,-11.333,94.343,11.333,47.727,0.003,47.727,0.004,2.094,0.083,28.591,-80.615,9.783,0.344,1.777e-5,0.802,-0.003,2.08e4,4331,10.878,0.082,205.2,176.1,1.86,0.287,1.422e7,0,32.1,0.41,0.41,0.276,0.01,0.124,0.044,0.083,-3.73e-4,0,0,0,0,8.186e-5,0.012,15.7,190,87.319,-0.028,1.702,-4.337,703.4,328.671,0.05,0.438
15.036,2979.562,93.753,-11.313,93.777,11.313,47.831,0.003,47.831,0.004,2.098,0.085,28.591,-80.615,9.783,0.344,1.671e-5,1.089,-0.004,2.08e4,4331,10.878,0.082,205.2,176.1,1.86,0.285,1.413e7,0,31.688,0.409,0.41,0.276,0.01,0.123,0.045,0.083,-2.45e-4,0,0,0,0,1.437e-4,0.012,15.7,190,87.376,-0.025,1.591,-4.367,703,328.652,0.05,0.439
15.086,2984.236,93.188,-11.292,93.212,11.292,47.936,0.003,47.936,0.004,2.101,0.054,28.591,-80.615,9.783,0.286,1.816e-5,1.318,-0.004,2.08e4,4331,10.878,0.082,205.4,176.1,1.872,0.284,1.404e7,0,31.277,0.409,0.409,0.276,0.01,0.123,0.036,0.067,2.617e-4,0,0,0,0,2.207e-4,0.012,15.7,190,87.433,-0.021,1.576,-4.398,702.5,328.634,0.05,0.44
15.136,2988.881,92.624,-11.27,92.648,11.27,48.041,0.003,48.041,0.004,2.103,0.001,28.591,-80.615,9.783,0.172,1.724e-5,1.49,-0.008,2.08e4,4331,10.878,0.082,205.7,176.1,1.894,0.282,1.395e7,0,30.871,0.409,0.409,0.276,0.01,0.123,0.021,0.04,4.589e-4,0,0,0,0,2.818e-4,0.012,15.7,190,87.548,-0.016,1.628,-4.428,702.1,328.616,0.05,0.442
15.186,2993.498,92.061,-11.248,92.085,11.248,48.147,0.004,48.147,0.004,2.101,0.061,28.591,-80.615,9.783,0.028,1.669e-5,1.604,-0.057,2.08e4,4331,10.878,0.082,206.2,176.1,1.921,0.28,1.386e7,0,30.472,0.409,0.409,0.276,0.01,0.123,0.003,0.006,-3.861e-4,0,0,0,0,3.131e-4,0.012,15.7,190,87.605,-0.009,1.715,-4.458,701.7,328.598,0.05,0.443
15.236,2998.087,91.499,-11.227,91.524,11.228,48.252,0.004,48.252,0.004,2.097,0.099,28.591,-80.615,9.783,0.057,1.831e-5,-1.547,-0.029,2.08e4,4331,10.878,0.082,206.1,176.1,1.913,0.279,1.377e7,0,30.078,0.409,0.409,0.276,0.01,0.123,0.008,0.016,-1.912e-4,0,0,0,0,-3.077e-4,0.012,15.7,190,87.663,-3.204e-4,1.72,-4.488,701.3,328.579,0.05,0.444
15.286,3002.648,90.939,-11.208,90.963,11.208,48.356,0.004,48.356,0.004,2.092,0.113,28.591,-80.615,9.783,0.115,1.66e-5,-1.49,-0.014,2.08e4,4331,10.878,0.082,205.9,176.1,1.906,0.277,1.368e7,0,29.686,0.409,0.409,0.276,0.01,0.123,0.013,0.025,-3.704e-4,0,0,0,0,-2.879e-4,0.012,15.7,190,87.777,0.01,1.641,-4.517,700.9,328.561,0.05,0.445
15.336,3007.181,90.379,-11.188,90.403,11.189,48.461,0.004,48.461,0.004,2.085,0.162,28.591,-80.615,9.783,0.229,1.734e-5,-1.375,-0.009,2.08e4,4331,10.878,0.082,205.6,176.1,1.882,0.275,1.359e7,0,29.305,0.409,0.409,0.276,0.01,0.123,0.028,0.053,2.687e-4,0,0,0,0,-2.527e-4,0.012,15.7,190,87.834,0.022,1.702,-4.547,700.5,328.544,0.05,0.446
15.386,3011.686,89.82,-11.169,89.844,11.17,48.565,0.004,48.565,0.004,2.077,0.161,28.591,-80.615,9.783,0.229,1.733e-5,-1.203,-0.007,2.08e4,4331,10.878,0.082,205.5,176.1,1.88,0.274,1.35e7,0,28.919,0.409,0.409,0.276,0.01,0.123,0.029,0.054,-1.275e-4,0,0,0,0,-1.936e-4,0.012,15.7,190,87.892,0.034,1.596,-4.576,700.1,328.526,0.05,0.446
15.436,3016.163,89.262,-11.15,89.286,11.152,48.668,0.004,48.668,0.005,2.068,0.193,28.591,-80.615,9.783,0.344,1.752e-5,-1.031,-0.004,2.08e4,4331,10.878,0.082,205.3,176.1,1.864,0.272,1.341e7,0,28.544,0.408,0.409,0.276,0.01,0.123,0.04,0.073,2.152e-4,0,0,0,0,-1.472e-4,0.011,15.7,190,87.949,0.047,1.623,-4.605,699.7,328.508,0.05,0.447
15.486,3020.612,88.705,-11.131,88.729,11.134,48.771,0.004,48.771,0.005,2.058,0.228,28.591,-80.615,9.783,0.401,1.761e-5,-0.802,-0.006,2.08e4,4331,10.878,0.082,205,176.1,1.847,0.27,1.332e7,0,28.175,0.408,0.408,0.276,0.01,0.122,0.051,0.095,3.275e-5,0,0,0,0,-8.592e-5,0.011,15.7,190,88.006,0.057,1.681,-4.634,699.3,328.491,0.05,0.448
15.536,3025.034,88.149,-11.113,88.172,11.116,48.874,0.004,48.874,0.005,2.045,0.263,28.591,-80.615,9.783,0.516,1.76e-5,-0.516,-0.005,2.08e4,4331,10.878,0.082,204.7,176.1,1.83,0.269,1.324e7,0,27.812,0.408,0.408,0.276,0.01,0.122,0.063,0.115,-4.033e-4,0,0,0,0,-3.526e-5,0.011,15.7,190,88.006,0.057,1.761,-4.663,698.9,328.473,0.05,0.449
15.586,3029.427,87.594,-11.094,87.617,11.098,48.976,0.004,48.976,0.005,2.031,0.29,28.591,-80.615,9.783,0.573,1.767e-5,-0.172,-0.005,2.08e4,4331,10.878,0.082,204.5,176.1,1.816,0.267,1.315e7,0,27.451,0.408,0.408,0.276,0.01,0.122,0.072,0.131,3.619e-4,0,0,0,0,-3.51e-6,0.011,15.7,190,88.064,0.057,1.836,-4.691,698.5,328.456,0.05,0.449
15.636,3033.793,87.039,-11.077,87.063,11.081,49.077,0.004,49.077,0.005,2.017,0.3,28.591,-80.615,9.783,0.63,1.772e-5,0.229,-0.004,2.08e4,4331,10.878,0.082,204.4,176.1,1.81,0.265,1.306e7,0,27.089,0.408,0.408,0.276,0.01,0.122,0.077,0.139,-2.313e-4,0,0,0,0,6.493e-6,0.011,15.7,190,88.064,0.115,1.88,-4.72,698.1,328.439,0.05,0.45
15.686,3038.131,86.486,-11.059,86.509,11.063,49.178,0.004,49.178,0.005,2.002,0.297,28.591,-80.615,9.783,0.63,1.78e-5,0.573,-0.005,2.08e4,4331,10.878,0.082,204.4,176.1,1.809,0.264,1.297e7,0,26.727,0.408,0.408,0.276,0.01,0.122,0.077,0.139,-4.67e-4,0,0,0,0,5.003e-5,0.011,15.7,190,88.006,0.115,1.903,-4.748,697.8,328.422,0.05,0.45
15.736,3042.442,85.933,-11.042,85.956,11.046,49.277,0.004,49.277,0.005,1.987,0.264,28.591,-80.615,9.783,0.516,1.715e-5,0.974,-0.006,2.08e4,4331,10.878,0.082,204.6,176.1,1.822,0.262,1.289e7,0,26.359,0.408,0.408,0.276,0.01,0.122,0.067,0.122,4.692e-6,0,0,0,0,1.302e-4,0.011,15.7,190,88.006,0.115,1.836,-4.776,697.4,328.405,0.05,0.451
15.786,3046.724,85.382,-11.026,85.404,11.028,49.376,0.004,49.376,0.005,1.975,0.232,28.591,-80.615,9.783,0.458,1.697e-5,1.261,-0.006,2.08e4,4331,10.878,0.082,204.8,176.1,1.835,0.26,1.28e7,0,25.996,0.408,0.408,0.276,0.01,0.122,0.058,0.106,4.275e-4,0,0,0,0,2.258e-4,0.011,15.7,190,87.949,0.115,1.797,-4.804,697,328.388,0.05,0.451
15.836,3050.98,84.831,-11.01,84.853,11.011,49.475,0.004,49.475,0.005,1.964,0.195,28.591,-80.615,9.783,0.344,1.82e-5,1.49,-0.007,2.08e4,4331,10.878,0.082,205.1,176.1,1.852,0.259,1.271e7,0,25.637,0.407,0.408,0.276,0.01,0.122,0.046,0.084,1.827e-4,0,0,0,0,3.307e-4,0.011,15.7,190,87.834,0.115,1.749,-4.831,696.7,328.371,0.05,0.452
15.886,3055.208,84.281,-10.993,84.303,10.995,49.573,0.005,49.573,0.005,1.955,0.181,28.591,-80.615,9.783,0.344,1.757e-5,1.719,-0.009,2.08e4,4331,10.878,0.082,205.2,176.1,1.859,0.257,1.263e7,0,25.287,0.407,0.407,0.276,0.01,0.122,0.041,0.076,3.467e-4,0,0,0,0,4.291e-4,0.011,15.7,190,87.777,0.057,1.799,-4.859,696.3,328.354,0.05,0.452
15.936,3059.408,83.731,-10.977,83.754,10.978,49.67,0.005,49.67,0.005,1.946,0.175,28.591,-80.615,9.783,0.344,1.887e-5,1.891,-0.008,2.08e4,4331,10.878,0.082,205.2,176.1,1.861,0.255,1.254e7,0,24.943,0.407,0.407,0.276,0.01,0.121,0.039,0.073,1.477e-4,0,0,0,0,5.39e-4,0.011,15.7,190,87.663,0.057,1.892,-4.886,695.9,328.338,0.05,0.453
15.986,3063.581,83.183,-10.961,83.206,10.962,49.768,0.005,49.768,0.005,1.938,0.135,28.591,-80.615,9.783,0.229,1.647e-5,2.063,-0.012,2.08e4,4331,10.878,0.082,205.5,176.1,1.881,0.254,1.245e7,0,24.595,0.407,0.407,0.276,0.01,0.121,0.026,0.048,1.499e-4,0,0,0,0,6.436e-4,0.011,15.7,190,87.605,0.057,1.864,-4.913,695.6,328.321,0.05,0.453
16.036,3067.726,82.635,-10.946,82.658,10.947,49.864,0.005,49.864,0.006,1.932,0.111,28.591,-80.615,9.783,0.115,1.743e-5,2.12,-0.018,2.08e4,4331,10.878,0.082,205.7,176.1,1.894,0.252,1.237e7,0,24.255,0.407,0.407,0.276,0.01,0.121,0.017,0.032,2.503e-4,0,0,0,0,7.092e-4,0.011,15.7,190,87.491,0.057,1.896,-4.94,695.2,328.305,0.05,0.454
16.086,3071.844,82.088,-10.93,82.111,10.931,49.961,0.005,49.961,0.006,1.927,0.102,28.591,-80.615,9.783,0.115,1.627e-5,2.235,-0.019,2.08e4,4331,10.878,0.082,205.8,176.1,1.898,0.25,1.228e7,0,23.921,0.407,0.407,0.276,0.009,0.121,0.014,0.025,-1.819e-4,0,0,0,0,7.676e-4,0.011,15.7,190,87.376,0.055,1.993,-4.967,694.8,328.289,0.05,0.454
16.136,3075.935,81.542,-10.915,81.565,10.916,50.057,0.005,50.057,0.006,1.922,0.073,28.591,-80.615,9.783,0.025,1.767e-5,2.235,-0.057,2.08e4,4331,10.878,0.082,206.1,176.1,1.915,0.249,1.22e7,0,23.587,0.407,0.407,0.276,0.009,0.121,0.003,0.005,-4.399e-4,0,0,0,0,8.073e-4,0.01,15.7,190,87.261,0.047,2.006,-4.994,694.5,328.273,0.05,0.455
16.186,3079.999,80.997,-10.902,81.02,10.902,50.153,0.005,50.153,0.006,1.92,0.026,28.591,-80.615,9.783,0.115,1.656e-5,-2.235,-0.016,2.08e4,4331,10.878,0.082,205.8,176.1,1.897,0.247,1.211e7,0,23.257,0.407,0.407,0.276,0.009,0.121,0.014,0.028,-5.69e-5,0,0,0,0,-8.009e-4,0.01,15.7,190,87.147,0.039,1.939,-5.02,694.1,328.257,0.05,0.456
16.236,3084.035,80.452,-10.887,80.475,10.887,50.249,0.005,50.249,0.006,1.919,0.016,28.591,-80.615,9.783,0.172,1.778e-5,-2.12,-0.009,2.08e4,4331,10.878,0.082,205.7,176.1,1.89,0.245,1.203e7,0,22.933,0.406,0.407,0.276,0.009,0.121,0.019,0.036,2.56e-4,0,0,0,0,-7.472e-4,0.01,15.7,190,87.032,0.031,2.018,-5.046,693.8,328.241,0.05,0.456
16.286,3088.044,79.908,-10.873,79.931,10.873,50.345,0.005,50.345,0.006,1.919,0.011,28.591,-80.615,9.783,0.229,1.708e-5,-2.063,-0.005,2.08e4,4331,10.878,0.082,205.4,176.1,1.873,0.244,1.194e7,0,22.611,0.406,0.406,0.276,0.009,0.121,0.03,0.057,-3.569e-4,0,0,0,0,-6.934e-4,0.01,15.7,190,86.918,0.025,2.015,-5.072,693.4,328.225,0.05,0.457
16.336,3092.026,79.365,-10.859,79.388,10.859,50.441,0.005,50.441,0.006,1.92,0.035,28.591,-80.615,9.783,0.344,1.749e-5,-1.891,-0.004,2.08e4,4331,10.878,0.082,205.2,176.1,1.858,0.242,1.186e7,0,22.294,0.406,0.406,0.276,0.009,0.121,0.039,0.074,-3.085e-4,0,0,0,0,-5.988e-4,0.01,15.7,190,86.86,0.018,2.018,-5.098,693.1,328.209,0.05,0.458
16.386,3095.98,78.822,-10.845,78.846,10.845,50.537,0.005,50.537,0.006,1.922,0.045,28.591,-80.615,9.783,0.344,1.846e-5,-1.719,-0.003,2.08e4,4331,10.878,0.082,205.1,176.1,1.851,0.24,1.177e7,0,21.979,0.406,0.406,0.276,0.009,0.121,0.044,0.083,4.033e-4,0,0,0,0,-4.994e-4,0.01,15.7,190,86.746,0.012,2.062,-5.124,692.7,328.194,0.05,0.458
16.436,3099.908,78.28,-10.829,78.304,10.829,50.633,0.006,50.633,0.006,1.924,0.038,28.591,-80.615,9.783,0.344,1.816e-5,-1.547,-0.001,2.08e4,4331,10.878,0.082,205.1,176.1,1.853,0.239,1.169e7,0,21.667,0.406,0.406,0.276,0.009,0.12,0.042,0.079,-3.638e-4,0,0,0,0,-4.046e-4,0.01,15.7,190,86.689,0.007,2.163,-5.149,692.4,328.178,0.05,0.459
16.486,3103.808,77.739,-10.816,77.763,10.816,50.729,0.006,50.729,0.006,1.927,0.066,28.591,-80.615,9.783,0.458,1.695e-5,-1.375,-4.708e-4,2.08e4,4331,10.878,0.082,204.8,176.1,1.836,0.237,1.16e7,0,21.358,0.406,0.406,0.276,0.009,0.12,0.054,0.1,3.43e-4,0,0,0,0,-3.18e-4,0.01,15.7,190,86.574,0.002,2.102,-5.175,692.1,328.163,0.05,0.459
16.536,3107.682,77.199,-10.804,77.223,10.804,50.826,0.006,50.826,0.007,1.931,0.103,28.591,-80.615,9.783,0.573,1.734e-5,-1.089,-4.768e-4,2.08e4,4331,10.878,0.082,204.5,176.1,1.813,0.236,1.152e7,0,21.053,0.406,0.406,0.276,0.009,0.12,0.07,0.127,1.931e-4,0,0,0,0,-2.137e-4,0.01,15.7,190,86.517,-0.001,1.989,-5.2,691.7,328.148,0.05,0.459
16.586,3111.528,76.659,-10.791,76.683,10.791,50.923,0.006,50.923,0.007,1.937,0.124,28.591,-80.615,9.783,0.63,1.778e-5,-0.802,-0.001,2.08e4,4331,10.878,0.082,204.3,176.1,1.8,0.234,1.143e7,0,20.751,0.406,0.406,0.276,0.009,0.12,0.079,0.143,4.078e-4,0,0,0,0,-1.178e-4,0.01,15.7,190,86.517,-0.004,1.923,-5.225,691.4,328.133,0.05,0.46
